name           ,selector         ,type        ,hidden ,width ,editable ,decimals ,isPill ,align ,cn ,domain ,range ,sortable ,onDisplay     ,onAccept ,onValidate
ID             ,id               ,string      ,       ,      ,         ,         ,       ,      ,   ,       ,      ,         ,getFieldValue ,         ,
Hash           ,hash             ,hash        ,       ,      ,         ,         ,       ,      ,   ,       ,      ,         ,              ,         ,
Block Hash     ,blockHash        ,hash        ,       ,      ,         ,         ,       ,      ,   ,       ,      ,         ,              ,         ,
Block Number   ,blockNumber      ,blknum      ,       ,      ,         ,         ,       ,      ,   ,       ,      ,         ,              ,         ,
Tx Index       ,transactionIndex ,blknum      ,       ,      ,         ,         ,       ,      ,   ,       ,      ,         ,              ,         ,
Nonce          ,nonce            ,uint64      ,       ,      ,         ,         ,       ,      ,   ,       ,      ,         ,              ,         ,
Timestamp      ,timestamp        ,timestamp   ,       ,      ,         ,         ,       ,      ,   ,       ,      ,         ,              ,         ,
From           ,from             ,address     ,       ,      ,         ,         ,       ,      ,   ,       ,      ,         ,              ,         ,
To             ,to               ,address     ,       ,      ,         ,         ,       ,      ,   ,       ,      ,         ,              ,         ,
Value          ,value            ,wei         ,       ,      ,         ,         ,       ,      ,   ,       ,      ,         ,              ,         ,
Gas            ,gas              ,gas         ,       ,      ,         ,         ,       ,      ,   ,       ,      ,         ,              ,         ,
Gas Price      ,gasPrice         ,gas         ,       ,      ,         ,         ,       ,      ,   ,       ,      ,         ,              ,         ,
Input          ,input            ,string      ,       ,      ,         ,         ,       ,      ,   ,       ,      ,         ,              ,         ,
isError        ,isError          ,uint64      ,       ,      ,         ,         ,       ,      ,   ,       ,      ,         ,              ,         ,
isInternal     ,isInternal       ,uint64      ,       ,      ,         ,         ,       ,      ,   ,       ,      ,         ,              ,         ,
Receipt        ,receipt          ,CReceipt    ,       ,      ,         ,         ,       ,      ,   ,       ,      ,         ,              ,         ,
Articulated Tx ,articulatedTx    ,CFunction   ,       ,      ,         ,         ,       ,      ,   ,       ,      ,         ,              ,         ,
Compressed Tx  ,compressedTx     ,string      ,       ,      ,         ,         ,       ,      ,   ,       ,      ,         ,              ,         ,
Finalized      ,finalized        ,bool        ,       ,      ,         ,         ,       ,      ,   ,       ,      ,         ,              ,         ,
Traces         ,traces           ,CTraceArray ,       ,      ,         ,         ,       ,      ,   ,       ,      ,         ,              ,         ,
