name        ,selector         ,type     ,hidden ,width ,editable ,decimals ,isPill ,align  ,cn ,domain ,range ,searchable ,sortable ,underField ,onDisplay     ,onAccept ,onValidate
ID          ,id               ,string   ,true   ,1     ,         ,         ,       ,       ,   ,       ,      ,true       ,         ,           ,getFieldValue ,         ,
Tags        ,tags             ,string   ,       ,3     ,true     ,         ,       ,       ,   ,       ,      ,true       ,         ,           ,              ,         ,
Address     ,address          ,address  ,       ,6     ,         ,         ,       ,       ,   ,       ,      ,true       ,         ,           ,              ,         ,
Name        ,name             ,string   ,       ,7     ,true     ,         ,       ,       ,   ,       ,      ,true       ,         ,           ,              ,         ,
Symbol      ,symbol           ,string   ,true   ,4     ,true     ,         ,       ,center ,   ,       ,      ,true       ,         ,           ,              ,         ,
Source      ,source           ,string   ,true   ,4     ,true     ,         ,       ,       ,   ,       ,      ,true       ,         ,           ,              ,         ,
Decimals    ,decimals         ,uint64   ,true   ,3     ,         ,         ,       ,center ,   ,       ,      ,           ,         ,           ,              ,         ,
Description ,description      ,string   ,true   ,8     ,true     ,         ,       ,       ,   ,       ,      ,true       ,         ,           ,              ,         ,
isCustom    ,is_custom        ,bool     ,true   ,2     ,         ,         ,       ,       ,   ,       ,      ,           ,         ,           ,              ,         ,
isPrefund   ,is_prefund       ,bool     ,true   ,2     ,         ,         ,       ,       ,   ,       ,      ,           ,         ,           ,              ,         ,
Count       ,nAppearances     ,blknum   ,       ,2     ,         ,         ,       ,       ,   ,       ,      ,           ,         ,           ,              ,         ,
Last Export ,lastExport       ,blknum   ,true   ,2     ,         ,         ,       ,       ,   ,       ,      ,           ,         ,           ,              ,         ,
First Block ,firstAppearance  ,blknum   ,       ,2     ,         ,         ,       ,       ,   ,       ,      ,           ,         ,           ,              ,         ,
Last Block  ,latestAppearance ,blknum   ,       ,2     ,         ,         ,       ,       ,   ,       ,      ,           ,         ,           ,              ,         ,
Path        ,path             ,string   ,true   ,2     ,         ,         ,       ,       ,   ,       ,      ,           ,         ,           ,              ,         ,
File Size   ,sizeInBytes      ,filesize ,       ,2     ,         ,         ,       ,       ,   ,       ,      ,           ,         ,           ,              ,         ,
Deleted     ,deleted          ,bool     ,true   ,2     ,         ,         ,       ,       ,   ,       ,      ,           ,         ,           ,              ,         ,
